----------------
Record performed: 03.03.2023 16:57:30
X Channel Name: SG384
Comments: DC211 with MF ph600 WL 680
Time Constant: 1
Field step: 0,5
Sweep count: 2
MHz/mA V V
SG384
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
----------------
---------------------------------------------------------
Frequency, MHz         	Channel1         	Channel2
---------------------------------------------------------
2730  	-8.52351E-06  	-1.96696E-06  	
2730.5  	-5.18563E-06  	-7.21221E-06  	
2731  	-2.205385E-06  	8.34469E-07  	
2731.5  	-4.94721E-06  	-6.61616E-06  	
2732  	-1.293424E-05  	-4.11274E-06  	
2732.5  	-1.424555E-05  	-6.07971E-06  	
2733  	-7.331403E-06  	-1.251706E-06  	
2733.5  	-1.615295E-05  	3.93392E-06  	
2734  	-1.525893E-05  	1.49012E-06  	
2734.5  	-4.64918E-06  	-2.02657E-06  	
2735  	-1.19211E-06  	-2.98025E-06  	
2735.5  	-7.03339E-06  	3.5763E-07  	
2736  	-9.4176E-06  	2.98025E-06  	
2736.5  	-1.132496E-05  	-1.90736E-06  	
2737  	-2.44977E-05  	3.93392E-06  	
2737.5  	-1.484165E-05  	9.5368E-07  	
2738  	-8.76192E-06  	1.84775E-06  	
2738.5  	-2.16366E-05  	-1.1921E-06  	
2739  	-1.9014E-05  	8.34468E-06  	
2739.5  	-2.449767E-05  	1.43052E-05  	
2740  	-2.54513E-05  	9.29837E-06  	
2740.5  	-2.56898E-05  	6.37773E-06  	
2741  	-3.23059E-05  	-2.20539E-06  	
2741.5  	-3.86837E-05  	1.1921E-07  	
2742  	-3.61802E-05  	3.21866E-06  	
2742.5  	-5.09026E-05  	1.12057051E-05  	
2743  	-6.16316E-05  	1.764303E-05  	
2743.5  	-6.23468E-05  	8.76192E-06  	
2744  	-8.10032E-05  	1.031166E-05  	
2744.5  	-9.73944E-05  	1.603373E-05  	
2745  	-9.86461E-05  	8.106291E-06  	
2745.5  	-0.0001108651  	1.96696E-05  	
2746  	-0.0001362572  	2.3544E-05  	
2746.5  	-0.0001577148  	1.454362E-05  	
2747  	-0.0001908546  	1.96696E-05  	
2747.5  	-0.000237526  	2.509369E-05  	
2748  	-0.000273229  	3.38557E-05  	
2748.5  	-0.000317397  	3.18887E-05  	
2749  	-0.000349345  	3.54053E-05  	
2749.5  	-0.000340583  	3.06966E-05  	
2750  	-0.000365379  	2.78355E-05  	
2750.5  	-0.000382783  	2.753748E-05  	
2751  	-0.000382843  	2.26499E-05  	
2751.5  	-0.000373186  	2.199431E-05  	
2752  	-0.000356855  	2.598782E-05  	
2752.5  	-0.000346961  	1.436478E-05  	
2753  	-0.000321867  	1.955041E-05  	
2753.5  	-0.000285747  	1.806024E-05  	
2754  	-0.000243129  	1.722588E-05  	
2754.5  	-0.0002030739  	1.943123E-05  	
2755  	-0.0001716623  	2.20538E-05  	
2755.5  	-0.0001376877  	6.31814E-06  	
2756  	-0.0001086001  	1.627218E-05  	
2756.5  	-9.43546E-05  	5.78168E-06  	
2757  	-7.64732E-05  	3.33787E-06  	
2757.5  	-6.62212E-05  	2.503406E-06  	
2758  	-7.34334E-05  	1.43053E-06  	
2758.5  	-6.38966E-05  	1.55569E-05  	
2759  	-5.02469E-05  	9.71562E-06  	
2759.5  	-4.52401E-05  	1.561651E-05  	
2760  	-3.48689E-05  	-4.7684E-06  	
2760.5  	-1.53781E-05  	-6.43734E-06  	
2761  	-1.537809E-05  	-7.093E-06  	
2761.5  	-2.65242E-05  	-2.503405E-06  	
2762  	-2.69415E-05  	5.36446E-06  	
2762.5  	-1.55569E-05  	1.138456E-05  	
2763  	-1.412634E-05  	6.91418E-06  	
2763.5  	2.205386E-06  	2.3842E-06  	
2764  	6.5565E-07  	-2.44379E-06  	
2764.5  	-1.108652E-05  	-5.30483E-06  	
2765  	-1.060968E-05  	-1.06693E-05  	
2765.5  	-5.18565E-06  	-7.093E-06  	
2766  	-2.4438E-06  	2.324594E-06  	
2766.5  	-1.13249E-06  	2.80145E-06  	
2767  	1.78814E-06  	6.13932E-06  	
2767.5  	-3.27827E-06  	1.370914E-06  	
2768  	-1.436481E-05  	-1.1921E-07  	
2768.5  	-2.51532E-05  	-5.9605E-07  	
2769  	-2.115979E-05  	-1.144417E-05  	
2769.5  	-1.668942E-05  	-8.82153E-06  	
2770  	-1.269588E-05  	-7.7486E-07  	
2770.5  	-2.157704E-05  	-2.3842E-07  	
