delta_f,delta_tau,mf_solar,final_spin
0.0018400855,0.011548152,55.5,0.7
0.013247521,-0.021444915,55.5,0.7
0.0054851054,0.032949784,55.5,0.7
-0.075001054,-0.010537865,55.5,0.7
-0.052821013,0.067551805,55.5,0.7
0.0084092014,-0.075339862,55.5,0.7
-0.067500458,-0.01831593,55.5,0.7
-0.019943836,-0.035403808,55.5,0.7
-0.059670074,-0.017522489,55.5,0.7
-0.00085054241,0.032853031,55.5,0.7
-0.014714917,0.044414194,55.5,0.7
-0.06147409,-0.13078341,55.5,0.7
-0.021237559,0.073684334,55.5,0.7
-0.046464084,0.031750286,55.5,0.7
-0.030865944,0.033973093,55.5,0.7
0.02505767,0.0181217,55.5,0.7
-0.0049983688,0.064417765,55.5,0.7
-0.003266891,0.032880546,55.5,0.7
0.033729204,-0.091393495,55.5,0.7
-0.010443218,-0.03283798,55.5,0.7
0.02677267,-0.00086404239,55.5,0.7
-0.0014782193,-0.013116063,55.5,0.7
-0.0053909246,-0.01899615,55.5,0.7
-0.024909086,0.040193813,55.5,0.7
-0.039362332,-0.065702372,55.5,0.7
-0.045511409,-0.044995665,55.5,0.7
-0.042367768,-0.058905754,55.5,0.7
0.0023930173,0.0075022204,55.5,0.7
-0.001081687,0.03482192,55.5,0.7
-0.039451333,-0.053174747,55.5,0.7
0.02413779,0.036808182,55.5,0.7
-0.033220991,-0.030504789,55.5,0.7
-0.025624682,0.087701753,55.5,0.7
-0.055854937,-0.13617996,55.5,0.7
-0.039319155,-9.1917193e-05,55.5,0.7
0.013226463,0.079848573,55.5,0.7
-3.0992195e-05,-0.013242156,55.5,0.7
-0.032939485,-0.063992085,55.5,0.7
0.024371018,-0.038326782,55.5,0.7
-0.015482894,0.038808143,55.5,0.7
-0.011086308,-0.026005701,55.5,0.7
0.018904308,0.075985146,55.5,0.7
0.00068077007,0.012187951,55.5,0.7
-0.023589821,-0.028788828,55.5,0.7
-0.045776598,-0.026188713,55.5,0.7
0.026027737,0.042881058,55.5,0.7
-0.085540867,0.053081363,55.5,0.7
-0.032421329,-0.045273053,55.5,0.7
-0.066942889,-0.074676366,55.5,0.7
-0.031394912,-0.066742749,55.5,0.7
0.012507283,0.040578878,55.5,0.7
-0.023664519,0.114147,55.5,0.7
-0.026472522,-0.026634984,55.5,0.7
-0.014950901,0.047345636,55.5,0.7
0.046571346,-0.0043935178,55.5,0.7
0.028613442,0.071421225,55.5,0.7
-0.0064106322,-0.079924773,55.5,0.7
-0.032981515,0.039353467,55.5,0.7
-0.025487988,-0.07303175,55.5,0.7
-0.0029094743,-0.041113742,55.5,0.7
-0.020581897,0.026165196,55.5,0.7
-0.016992095,-0.0073440566,55.5,0.7
-0.045094927,-0.0027236013,55.5,0.7
-0.054792643,0.030994199,55.5,0.7
-0.046724038,0.01299118,55.5,0.7
-0.0059543807,0.098698989,55.5,0.7
-0.041300204,0.047601588,55.5,0.7
0.064250391,-0.027781158,55.5,0.7
0.0040945911,0.0071181512,55.5,0.7
0.0071801388,-0.02099323,55.5,0.7
0.017786492,-0.010140431,55.5,0.7
-0.044345687,0.10873989,55.5,0.7
-0.048168726,-0.045771063,55.5,0.7
-0.019297075,0.083347294,55.5,0.7
0.0059028359,0.10236084,55.5,0.7
0.0048455371,0.17582013,55.5,0.7
0.03833331,0.019199754,55.5,0.7
0.030998801,0.032793678,55.5,0.7
0.020652993,0.033207496,55.5,0.7
0.023492227,-0.0060548491,55.5,0.7
-0.002574304,0.11727493,55.5,0.7
0.01560553,0.13215563,55.5,0.7
-0.018665709,-0.13043248,55.5,0.7
-0.022713481,-0.012547734,55.5,0.7
0.018821241,0.086624527,55.5,0.7
-0.059760156,-0.062915198,55.5,0.7
0.033114214,-0.024022313,55.5,0.7
0.047242121,0.022324639,55.5,0.7
-0.02368154,0.0053636781,55.5,0.7
0.014107231,0.0026336648,55.5,0.7
-0.0033546609,0.0017172725,55.5,0.7
-0.038066578,0.11228469,55.5,0.7
0.0030206116,-0.12838,55.5,0.7
0.0080634681,-0.018380366,55.5,0.7
0.022811417,-0.053743975,55.5,0.7
-0.017827899,0.021312558,55.5,0.7
-0.0034875912,-0.017007993,55.5,0.7
-0.02620452,0.034297778,55.5,0.7
0.022861399,0.015659486,55.5,0.7
-0.010660745,0.14752914,55.5,0.7
0.018532405,-0.065202423,55.5,0.7
-0.028084076,-0.024277766,55.5,0.7
-0.0039445057,0.06263215,55.5,0.7
-0.03485527,-0.019494568,55.5,0.7
-0.030102877,0.013607089,55.5,0.7
0.02607246,-0.076948579,55.5,0.7
-0.013170793,0.050826113,55.5,0.7
-0.010198625,0.00058881856,55.5,0.7
0.014578045,0.047257892,55.5,0.7
-0.032147922,-0.051831984,55.5,0.7
0.051229643,-0.012935816,55.5,0.7
-0.031074733,-0.048369345,55.5,0.7
-0.019502512,0.10637309,55.5,0.7
0.058373519,-0.084744128,55.5,0.7
-0.059651099,0.023672815,55.5,0.7
0.045829306,0.034393743,55.5,0.7
0.0041401145,0.087388758,55.5,0.7
0.0079317973,0.028132583,55.5,0.7
-0.03949304,-0.06084051,55.5,0.7
-0.0025108318,0.040015666,55.5,0.7
-0.04607966,-0.10458865,55.5,0.7
0.022446138,0.077876285,55.5,0.7
-0.015338594,-0.00032341621,55.5,0.7
-0.027687987,-0.041386497,55.5,0.7
-0.022757657,-0.025593667,55.5,0.7
-0.012781844,0.042105014,55.5,0.7
0.021376999,-0.088095616,55.5,0.7
0.0028814873,0.11334663,55.5,0.7
-0.031432847,-0.04005146,55.5,0.7
-0.034730488,0.094510198,55.5,0.7
-0.039582518,0.011528885,55.5,0.7
0.015581127,0.12885529,55.5,0.7
0.0060331496,-0.063547375,55.5,0.7
-0.042165475,0.054093463,55.5,0.7
-0.057786493,-0.0061265734,55.5,0.7
-0.010498257,-0.031537874,55.5,0.7
-0.026219222,0.054969723,55.5,0.7
0.0070526724,-0.0038763797,55.5,0.7
-0.012560965,-0.038219805,55.5,0.7
0.0023052,-0.0037803514,55.5,0.7
0.015353107,-0.03536814,55.5,0.7
