delta_f,delta_tau,mf_solar,final_spin
-0.0050245914,-0.0049562072,63.8,0.64
0.040695858,-0.028231039,63.8,0.64
0.037670597,-0.0580399,63.8,0.64
-0.017748888,-0.091566747,63.8,0.64
0.0067970402,-0.0080042655,63.8,0.64
0.011571494,-0.041433949,63.8,0.64
0.031750294,-0.035695256,63.8,0.64
-0.010220479,-0.041294939,63.8,0.64
-0.00072616597,-0.060664938,63.8,0.64
0.0083407843,-0.039984682,63.8,0.64
0.032463095,-0.052121805,63.8,0.64
0.038461522,-0.012638725,63.8,0.64
-0.0044834067,-0.10473771,63.8,0.64
0.064237548,-0.074589924,63.8,0.64
0.024394623,-0.015629065,63.8,0.64
-0.012169702,-0.034463548,63.8,0.64
-0.034783911,-0.019871733,63.8,0.64
-0.0032740552,0.096741265,63.8,0.64
-0.0595837,0.010312802,63.8,0.64
0.017081563,0.048385529,63.8,0.64
0.02828368,0.008227348,63.8,0.64
0.049623009,-0.019365404,63.8,0.64
0.026484186,-0.064304685,63.8,0.64
-0.039654356,-0.14074631,63.8,0.64
0.0030708421,-0.10578357,63.8,0.64
0.032425295,-0.15476317,63.8,0.64
-0.053481563,-0.099618287,63.8,0.64
-0.013102066,-0.11937403,63.8,0.64
0.030195592,-0.073761431,63.8,0.64
0.013133665,-0.020877026,63.8,0.64
-0.048680047,-0.056351465,63.8,0.64
-0.0036462316,0.029556871,63.8,0.64
0.012097656,0.03370134,63.8,0.64
0.073714378,0.053227492,63.8,0.64
-0.0016812987,0.028443067,63.8,0.64
-0.015687154,-0.0095564919,63.8,0.64
0.018830774,-0.048994908,63.8,0.64
0.02150848,0.0089103559,63.8,0.64
0.028536418,-0.03130623,63.8,0.64
0.054675225,-0.023259975,63.8,0.64
0.0095471518,0.0039660482,63.8,0.64
-0.029573526,-0.093052455,63.8,0.64
0.012779284,-0.11643185,63.8,0.64
0.012067223,-0.00052159108,63.8,0.64
0.040553682,0.091503647,63.8,0.64
0.036747192,0.051725717,63.8,0.64
-0.010426019,0.19918066,63.8,0.64
0.0346357,-0.098579242,63.8,0.64
0.04155593,-0.052245515,63.8,0.64
0.0059877807,-0.1577095,63.8,0.64
0.039980692,-0.065330321,63.8,0.64
0.016614609,0.093687708,63.8,0.64
0.016969555,0.077183533,63.8,0.64
0.0072262422,-0.081091841,63.8,0.64
0.035708932,-0.034132611,63.8,0.64
0.097729381,-0.051480762,63.8,0.64
0.018457734,-0.098370162,63.8,0.64
-0.023162885,-0.041226933,63.8,0.64
0.004740259,-0.040677023,63.8,0.64
-0.0057539573,-0.017666885,63.8,0.64
0.021355818,-0.0022509712,63.8,0.64
0.0074908656,0.020885974,63.8,0.64
0.087646524,0.077095237,63.8,0.64
0.034009344,-0.019959702,63.8,0.64
0.067371508,-0.021029925,63.8,0.64
-0.0094893168,-0.023479929,63.8,0.64
0.0053538379,0.0054138026,63.8,0.64
0.073302714,-0.015199586,63.8,0.64
-0.038547427,-0.088516857,63.8,0.64
0.01591667,-0.049770732,63.8,0.64
-0.03474243,0.014919937,63.8,0.64
0.057707075,-0.071607988,63.8,0.64
-0.030750597,0.020073218,63.8,0.64
0.0025308865,-0.10432687,63.8,0.64
0.0062790138,0.015434933,63.8,0.64
-0.038954215,0.0051852531,63.8,0.64
0.085604988,-0.017481793,63.8,0.64
0.0065408774,-0.022146428,63.8,0.64
0.060922845,-0.023632343,63.8,0.64
-0.0092543014,0.075935067,63.8,0.64
-0.032384146,-0.054566134,63.8,0.64
0.017998877,-0.061781035,63.8,0.64
0.01717927,0.0037940565,63.8,0.64
0.099044411,0.063618263,63.8,0.64
-0.020170044,-0.0061600635,63.8,0.64
-0.035386192,-0.037843009,63.8,0.64
-0.0097258295,0.03680629,63.8,0.64
0.020514292,-0.063010439,63.8,0.64
0.028332614,-0.062663584,63.8,0.64
-0.010998764,-0.097714416,63.8,0.64
0.00092578219,0.049949103,63.8,0.64
