delta_f,delta_tau,mf_solar,final_spin
-0.042714751,0.025018916,69.2,0.68
0.037911854,-0.091111552,69.2,0.68
-0.026119852,0.089286264,69.2,0.68
-0.007775197,0.017821097,69.2,0.68
-0.0022602992,-0.0049233801,69.2,0.68
-0.02222654,-0.0032660149,69.2,0.68
-0.041033781,-0.030567775,69.2,0.68
0.019466784,0.10939402,69.2,0.68
0.010831743,0.10312419,69.2,0.68
-0.058585892,-0.075606252,69.2,0.68
0.07042229,0.0026966914,69.2,0.68
0.029054907,0.024015188,69.2,0.68
-0.022781615,0.071987568,69.2,0.68
0.027065948,-0.14036291,69.2,0.68
-0.014008595,0.053034882,69.2,0.68
-0.0018206856,0.099706179,69.2,0.68
0.02366533,-0.015312336,69.2,0.68
-0.037700044,-0.010630646,69.2,0.68
0.017275725,0.078050643,69.2,0.68
0.04196937,0.03041606,69.2,0.68
0.039668942,-0.072837409,69.2,0.68
-0.0089909555,-0.072711126,69.2,0.68
0.02708758,-0.057282772,69.2,0.68
-0.048647482,-0.095671533,69.2,0.68
-0.0047456778,-0.0021544529,69.2,0.68
0.013484518,-0.029353098,69.2,0.68
-0.040308032,-0.0064490792,69.2,0.68
-0.0024506277,0.041073814,69.2,0.68
0.051742198,0.11682337,69.2,0.68
0.078544783,0.027837423,69.2,0.68
0.02332084,-0.10818665,69.2,0.68
0.024858996,0.087698931,69.2,0.68
-0.028769649,-0.013772755,69.2,0.68
-0.036281649,0.061846374,69.2,0.68
-0.04236876,-0.036459256,69.2,0.68
0.016246405,0.020563144,69.2,0.68
0.022558182,-0.004557779,69.2,0.68
-0.01976281,-0.0064787144,69.2,0.68
-0.03686025,0.068355099,69.2,0.68
0.0077267331,-0.038816832,69.2,0.68
0.0093870876,0.010730266,69.2,0.68
-0.0039243507,0.011444116,69.2,0.68
0.038099494,-0.016753232,69.2,0.68
-0.0027888737,-0.13387611,69.2,0.68
-0.0019845267,0.019511794,69.2,0.68
-0.033246434,-0.17828214,69.2,0.68
0.0040787055,-0.090591225,69.2,0.68
0.040412333,-0.020595752,69.2,0.68
0.0018343206,0.025126298,69.2,0.68
0.002127438,0.051209062,69.2,0.68
0.013009636,0.051328041,69.2,0.68
0.0083245098,0.036501102,69.2,0.68
0.015907572,-0.019682873,69.2,0.68
0.016101629,0.075279985,69.2,0.68
0.0185505,-0.013316267,69.2,0.68
-0.023850524,0.06165618,69.2,0.68
0.0090009284,-0.13356587,69.2,0.68
-0.048081048,-0.067927509,69.2,0.68
